DATE,DEPTH,LATITUDE,LONGITUDE,SALINITY,TEMPERATURE,CPHL,Oa01_radiance,Oa02_radiance,Oa03_radiance,Oa04_radiance,Oa05_radiance,Oa06_radiance,Oa07_radiance,Oa08_radiance,Oa09_radiance,Oa10_radiance,Oa11_radiance,Oa12_radiance,Oa13_radiance,Oa14_radiance,Oa15_radiance,Oa16_radiance,Oa17_radiance,Oa18_radiance,Oa19_radiance,Oa20_radiance,Oa21_radiance
1/28/2017,0.000238681,-20.71338,-25.03408,37.29800177,26.74400127,0.102000005,1.3528105,1.3521173,1.09940305,0.7833464,0.5653368,0.4817982,0.25495669,0.21913475,0.23300235,0.18174383,0.14185983,0.1331926,0.04498104,0.0908376,0.08428464,0.087494055,0.0616255,0.06599544,0.037713525,0.00652756,0.02917062
2/7/2017,0.000248626,-20.81857,-25.11417,37.30500177,26.97100128,0.044000002,1.6038475,1.606476,1.3119948,0.9446236,0.6864804,0.5806286,0.29891474,0.258579005,0.27104355,0.21267895,0.16212552,0.1511916,0.07121998,0.1167912,0.097454115,0.098099395,0.06902056,0.07424487,0.0502847,0.01958268,0.02917062
2/17/2017,0.000248626,-20.84698,-25.19194,37.31900177,27.22400129,0.095000005,1.95251,2.00140135,1.7493264,1.4284552,1.12562595,1.0809575,0.646183335,0.60481191,0.64194525,0.51042948,0.4053138,0.4031776,0.1311947,0.2638616,0.2633895,0.27043617,0.20213164,0.21448518,0.128225985,0.02611024,0.09561481
2/27/2017,0.000258571,-20.8417,-25.33836,37.32000177,26.89600128,0.073000003,1.2970245,1.2985681,1.05081065,0.7142276,0.504765,0.4200292,0.215394445,0.18407319,0.19496115,0.15080871,0.11483891,0.107994,0.0374842,0.0735352,0.071115165,0.06893471,0.0493004,0.05224639,0.032685055,0.00652756,0.02268826
3/9/2017,0.000248626,-20.81934,-25.48653,37.24000177,27.25300129,0.109000005,1.38767675,1.3788919,1.09940305,0.7372672,0.5249556,0.4076754,0.189019615,0.14901163,0.15691995,0.12374048,0.091195605,0.0791956,0.02998736,0.0562328,0.050044005,0.050375365,0.03204526,0.03299772,0.02011388,0.00652756,0.01296472
3/19/2017,0.000248626,-20.86719,-25.67983,37.20400177,27.15300129,0.044000002,1.143613,1.14461415,0.90503345,0.6105494,0.4240026,0.3397295,0.162644785,0.13148085,0.13789935,0.10827292,0.08106276,0.071996,0.02623894,0.0475816,0.04214232,0.04772403,0.02958024,0.03024791,0.017599645,0.00326378,0.01296472
3/29/2017,0.000248626,-20.99633,-25.90669,37.11400176,27.07100129,0.095000005,1.42951625,1.4592157,1.2391062,0.9676632,0.7470522,0.6979897,0.400018255,0.35938099,0.38516715,0.30161742,0.24318828,0.2303872,0.12369786,0.1903264,0.155399805,0.15377743,0.1109259,0.12099164,0.093026695,0.04569292,0.05347947
4/8/2017,0.000258571,-21.23209,-26.14726,37.16000177,26.99700128,0.277000013,1.0738805,1.070984,0.8382189,0.5529504,0.3836214,0.2841374,0.12308254,0.0876539,0.095103,0.06960402,0.05404184,0.0431976,0.01499368,0.043256,0.02633895,0.02651335,0.01479012,0.01649886,0.01005694,0.00326378,0.00324118
4/18/2017,0.000248626,-21.52799,-26.27318,37.00000176,26.72400127,0.102000005,1.02506775,1.01074115,0.7896265,0.5299108,0.3634308,0.2779605,0.12308254,0.100801985,0.09985815,0.0773378,0.05404184,0.0467974,0.0187421,0.0346048,0.03160674,0.029164685,0.01725514,0.01924867,0.01005694,0.00326378,0.00810295
4/28/2017,0.000248626,-21.56831,-26.27271,36.97400176,26.27600125,0.051000002,1.2412385,1.2584062,1.06295875,0.8179058,0.6259086,0.5744517,0.33408118,0.302405955,0.32810535,0.25521474,0.2026569,0.197989,0.05997472,0.1211168,0.12642696,0.13256675,0.0986008,0.10449278,0.06034164,0.01142323,0.04537652
5/8/2017,0.000248626,-21.41378,-26.32498,36.95100176,25.61200122,0.058000003,0.88560275,0.89025545,0.69851575,0.4665519,0.3230496,0.247076,0.109895125,0.0876539,0.0855927,0.06960402,0.04728661,0.0395978,0.01499368,0.0259536,0.02633895,0.02651335,0.01479012,0.01649886,0.01005694,0.00326378,0.00648236
5/28/2017,0.000238681,-20.82929,-26.39126,37.07300176,24.49900116,0.109000005,1.13663975,1.1513078,0.971848,0.7430271,0.5653368,0.5065058,0.28133152,0.258579005,0.2757987,0.21654584,0.172258365,0.1691906,0.05247788,0.1038144,0.107989695,0.114007405,0.0862757,0.09074373,0.05531317,0.01305512,0.03889416
6/7/2017,0.000248626,-20.63894,-26.36106,37.18300177,24.74900118,0.066000003,0.81587025,0.803238,0.63777525,0.4262326,0.29781135,0.2285453,0.101103515,0.074505815,0.08083755,0.05800335,0.043908995,0.035998,0.01499368,0.0259536,0.02107116,0.02121068,0.0123251,0.01374905,0.01005694,0.00326378,0.00486177
6/17/2017,0.000248626,-20.61699,-26.18786,37.11500176,24.53500117,0.117000006,1.15058625,1.1646951,1.0082923,0.7948662,0.61076565,0.5620979,0.31649796,0.293640565,0.30908475,0.24361407,0.192524055,0.1871896,0.0562263,0.1167912,0.118525275,0.124612745,0.09120574,0.09899316,0.057827405,0.01142323,0.04375593
6/27/2017,0.000258571,-20.66962,-26.00611,37.03700176,24.06700114,0.168000008,1.72239275,1.81397915,1.7371783,1.5897324,1.3022937,1.358918,0.865973585,0.84147744,0.9034785,0.71924154,0.58770501,0.5867674,0.17617574,0.3763272,0.38454867,0.395048915,0.30319746,0.32722739,0.22125268,0.06364371,0.14099133
7/7/2017,0.000248626,-20.72376,-25.95089,36.95100176,23.26700111,0.073000003,1.366757,1.42574745,1.3119948,1.1404602,0.93381525,0.9450657,0.58903787,0.56975035,0.60390405,0.48722814,0.401936185,0.3923782,0.11620102,0.2335824,0.25285392,0.2651335,0.20213164,0.21723499,0.168453745,0.06690749,0.0972354
7/17/2017,0.000248626,-20.84827,-26.0131,36.90800175,22.73700108,0.993000047,0.89954925,0.9103364,0.72281195,0.5011113,0.35838315,0.2779605,0.127478345,0.09641929,0.1046133,0.08120469,0.057419455,0.0503972,0.0187421,0.0346048,0.03160674,0.03181602,0.01972016,0.01924867,0.012571175,0.00489567,0.00810295
